Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
32GB ,,Sí ,"Móvil - iPhone 7, 32GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Rosa dorado",https://tiendas.mediamarkt.es/p/movil-iphone-7-de-32gb-con-red-4g-lte-rosa-dorado-1340000#specifications,08/25/18 - 18:35:50,Apple,,,,,1340000.0,608.0,4.7 ,iOS ,4.7 pulgadas ,,,
32GB ,4GB ,Sí ,"Móvil - Samsung Galaxy A8 (2018), 5.6'', Full HD+, 4 GB RAM, 32 GB, 16 MP + 8 MP, Dual Sim, Dorado",https://tiendas.mediamarkt.es/p/samsung-galaxy-a8-5.6-32gb-dorado-1391170#specifications,08/25/18 - 18:35:52,Samsung,,,,8 ,1391170.0,371.0,5.6 ,7.1.1 ,"Mas de 5,5” ",,,
64 GB ,4 GB ,,"Móvil - BQ Aquaris VS 5.2"", 64GB, 4GB RAM, 12 MP, Lector de huella, Blanco y oro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-vs-5.2-64gb-4gb-ram-12-1398122#specifications,08/25/18 - 18:35:53,BQ,,,,8 ,1398122.0,199.0,,Android 7.1.2 (Nougat). Actualizable a Android 8 (Oreo) ,,,"LiPo 3100, Quick Charge 3.0 mAh ",
32GB ,,Sí ,"Móvil - iPhone 7, 32GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Negro",https://tiendas.mediamarkt.es/p/movil-iphone-7-de-32gb-con-red-4g-lte-negro-1339996#specifications,08/25/18 - 18:35:55,Apple,,,Sí ,,1339996.0,608.0,4.7 ,iOS ,4.7 pulgadas ,,,
32 ,3 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 3 GB RAM, 13 MP, Memoria 32 GB, Dual SIM, Oro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414006#specifications,08/25/18 - 18:35:56,Xiaomi,,,,8 ,1414006.0,183.0,,Android MIUI ,,,Snapdragon 636 ,
32 GB ,3 GB ,,"Móvil - BQ Aquaris VS 5.2"", 32 GB, 3 GB de RAM, 12 MP, Lector de huella, Blanco y oro",https://tiendas.mediamarkt.es/p/bq-aq-vs-5-2pds4g8n32gbw-1398121#specifications,08/25/18 - 18:35:57,BQ,,,,8 ,1398121.0,179.0,,Android 7.1.2 (Nougat). Actualizable a Android 8 (Oreo) ,,,"LiPo 3100, Quick Charge 3.0 mAh ",
64 GB ,4GB ,Sí ,"Móvil - Xiaomi Redmi 5 Plus, 5.99"", Full HD, 4GB RAM, 12 MP, Memoria 64 GB, Dual SIM, Dorado",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-5-plus-5.99-full-hd-1400530#specifications,08/25/18 - 18:36:00,Xiaomi,,,,,1400530.0,193.0,,Android 7.1.2 Nougat + MIUI 9.2 ,,,Octa-core 2 GHz ,
64 ,4 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 4 GB RAM, 13 MP, Memoria 64 GB, Dual SIM, Azul",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414001#specifications,08/25/18 - 18:36:02,Xiaomi,,,,8 ,1414001.0,235.0,,Android MIUI ,,,Snapdragon 636 ,
32 GB ,3 GB ,,"Móvil - Huawei Y9 (2018), 5.93"", HD, HiSilicon Kirin 659, 3 GB RAM, 32 GB, 16 MP, 8 MP, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-y9-5.93-hd-hisilicon-kirin-1405932#specifications,08/25/18 - 18:36:03,Huawei,,,,8 ,1405932.0,199.0,5.93 ,Android 8.0 ,,,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6, 5.6"", HD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, 16 MP + 16 MP, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-5.6-hd-plus-1406786#specifications,08/25/18 - 18:36:04,Samsung,,,,8 ,1406786.0,249.0,5.6 ,,,Super Amoled ,,
