,Almacenamiento interno,Descripcion,Direccion,Fecha,Marca,Precio,Pulgadas
245,8.0,"Móvil - Blu Vivo 5 Mini, 4'', 3G, MediaTek 6580, 8 GB, 5 MP, Oro",https://tiendas.mediamarkt.es/p/movil-blu-vivo-5-mini-4-3g-mediatek-6580-1389261#specifications,08/25/18 - 18:40:32,Blu,79.9,4.0
246,16.0,"Móvil - Alcatel 3V, Pantalla 6"" 2K, Quad Core, RAM 2 GB, Capacidad 16 GB, Camara Dual 16 MP + 2 MP, Azul",https://tiendas.mediamarkt.es/p/movil-alcatel-3v-6-2k-ram2gb-16gb-azul-1418093#specifications,08/25/18 - 18:40:33,Alcatel,179.99,6.0
247,16.0,"Móvil - Honor 7A, 5.7"", FullView, 13 MP + 8 MP, 3000 mAh, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-honor-7a-5.7-fullview-13-mp-8-mp-1424787#specifications,08/25/18 - 18:40:35,Honor,140.0,5.7
248,16.0,"Móvil - Nokia 3.1, 5.2"", MediaTek MT6750, 16 GB, Dual SIM, 4G, Blanco",https://tiendas.mediamarkt.es/p/movil-nokia-3.1-5.2-mediatek-mt6750-16-gb-1423670#specifications,08/25/18 - 18:40:37,Nokia,149.0,5.2
249,16.0,"Móvil - Alcatel 3L, 5.5"", 4G, Quad Core, 2 GB RAM, 16 GB, 13 MP, Negro",https://tiendas.mediamarkt.es/p/movil-alcatel-3l-5.5-4g-quad-core-2-gb-1421846#specifications,08/25/18 - 18:40:43,Alcatel,122.0,5.5
250,16.0,"Móvil - Wiko Lenny 4 Plus, 5.5"", 1 GB RAM, 16 GB, Dual Sim, Dorado",https://tiendas.mediamarkt.es/p/movil-wiko-lenny-4-plus-5.5-1-gb-ram-16-dorado-1407894#specifications,08/25/18 - 18:40:44,Wiko,89.99,5.5
251,16.0,"Móvil - Alcatel 3L, 5.5"", 4G, Quad Core, 2 GB RAM, 16 GB, 13 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-alcatel-3l-5.5-4g-quad-core-2-gb-1421848#specifications,08/25/18 - 18:40:47,Alcatel,119.0,5.5
252,64.0,"Móvil - Meizu Pro 7, 5.2'', Full HD, 4 GB RAM, Memoria de 64 GB, Cámara Doble 12 + 12 Mpx, Rojo",https://tiendas.mediamarkt.es/p/movil-meizu-pro-7-5.2-full-hd-4-gb-ram-1380770#specifications,08/25/18 - 18:40:48,Meizu,310.0,5.5
253,32.0,"Móvil - Motorola Moto G5S Plus, 5.5"", Full HD, Qualcomm Snapdragon 625, 3 GB RAM, 32GB, 13MP + 8MP, 4G, oro rosáceo",https://tiendas.mediamarkt.es/p/smartphone-motorola-moto-g5s-plus-5-5-red-1375394#specifications,08/25/18 - 18:40:50,Motorola,264.0,5.5
254,32.0,"Móvil - ZTE Axon 7 Mini, 32GB, 4G, Pantalla 5.2"" FHD, Dual Sim, 8N, Dorado",https://tiendas.mediamarkt.es/p/movil-zte-axon-7-mini-32gb-4g-panta-1345447#specifications,08/25/18 - 18:40:51,ZTE,274.0,5.5
